y,x
19.00000000000,-110.03300000000
27.46670000000,-112.58300000000
21.15000000000,-104.50000000000
19.41670000000,-103.71700000000
19.48330000000,-102.25000000000
19.03330000000,-101.66700000000
19.83330000000,-100.63300000000
19.25000000000,-99.21670000000
19.01670000000,-98.61670000000
19.03330000000,-97.28330000000
18.58330000000,-95.16670000000
17.33330000000,-93.20000000000
15.05000000000,-91.90000000000
14.75000000000,-91.55000000000
14.80000000000,-91.51670000000
14.71670000000,-91.48330000000
14.58330000000,-91.18330000000
14.61670000000,-91.18330000000
14.50000000000,-90.88330000000
14.48330000000,-90.88330000000
14.46670000000,-90.75000000000
14.38330000000,-90.60000000000
14.15000000000,-90.41670000000
13.75000000000,-89.76670000000
13.85000000000,-89.63330000000
13.81670000000,-89.63330000000
13.81670000000,-89.33330000000
13.73330000000,-89.28330000000
13.66670000000,-89.05000000000
13.61670000000,-88.85000000000
13.50000000000,-88.50000000000
13.48330000000,-88.23330000000
13.43330000000,-88.26670000000
13.28330000000,-87.85000000000
12.98330000000,-87.56670000000
12.70000000000,-87.00000000000
12.68330000000,-86.96670000000
12.60000000000,-86.85000000000
12.56670000000,-86.81670000000
12.56670000000,-86.81670000000
12.50000000000,-86.70000000000
12.50000000000,-86.68330000000
12.41670000000,-86.53330000000
11.98330000000,-86.15000000000
11.83330000000,-85.98330000000
11.53330000000,-85.61670000000
19.26670000000,-110.80000000000
18.75000000000,-111.95000000000
15.12500000000,-92.12210000000
13.20000000000,-87.76670000000
